1 input_test.asc  Three-stage rocket ascent ' SLV1 ' Oct 14 2018 11:06:30
  0  0 90
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           UTBC1           
UTBC2           UTBC3           lamd            waclp           zaclp           
paclp           alcomx_actual   ancomx_actual   wacly           alcomx          
ancomx          wnact           delax           delex           delrx           
modes           ucbias_error    ucfreq_error    SXH1            SXH2            
SXH3            VXH1            VXH2            VXH3            CXH1            
CXH2            CXH3            std_pos         std_vel         std_ucbias      
URIC1           URIC2           URIC3           etax            zetx            
10.0014         4371.14         1.40763e+06     26803.9         0.4             
18              60              57              -2.15883        -2.15883        
0.962763        0               0               0.962763        0               
0               0.159726        0.159726        2.79684         0.0791442       
-0.0519196      80.0866         -83.0157        0.000142819     0.000152696     
3.535e-05       -5.03228        0.970082        -9.55674        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
9               0.548691        19172.2         -82.9212        80.0968         
0.0215743       2.12651         1.47648         2.89684         0.074679        
-0.0153007      0.108522        0.0180195       -120.492        34.6802         
900.667         184.921         386.935         -82.5893        77.1989         
160.224         -0.000283204    0.0109875       0.0865141       44355.8         
9.97031         4628.19         1.40763e+06     26546.8         0.4             
18              66              57              -2.1298         -2.1298         
1.01907         0               0               1.01907         0               
0               0.180744        0.180744        2.90108         0.0615324       
0               80.1054         -82.9212        0.000142337     0.000152597     
3.5631e-05      -5.0217         0.969659        -9.58596        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
9.5             0.581815        21316.1         -82.9105        80.1049         
0.0246294       2.275           1.39554         2.97528         0.0724909       
-0.0153008      0.0645673       -0.0117491      -120.492        34.6802         
993.482         195.87          389.707         -82.591         77.1287         
181.378         -0.000323577    0.0132822       0.0979361       44098.8         
9.93923         4885.24         1.40763e+06     26289.8         0.4             
18              74              57              -2.10464        -2.10464        
1.07486         0               0               1.07486         0               
0               0.203163        0.203163        2.97959         0.0590867       
0               80.1135         -82.9104        0.000141832     0.000152508     
3.58781e-05     -5.01003        0.969765        -9.61796        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
10              0.615249        23554.2         -82.9947        80.1048         
-0.0658353      2.38913         1.6238          3.03379         0.0860087       
-0.0153         0.0297233       -0.0486386      -120.492        34.6802         
1091.63         206.885         392.8           -82.595         77.0703         
203.861         -0.000442609    0.0156132       0.110076        43841.7         
9.90814         5142.29         1.40763e+06     26032.7         0.4             
18              82              57              -2.08181        -2.08181        
1.13006         0               0               1.13006         0               
0               0.227424        0.227424        3.03817         0.0723624       
-0.0541664      80.1134         -82.9945        0.000141305     0.000152428     
3.60903e-05     -4.99727        0.970401        -9.65276        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
10.5            0.648908        25874.2         -82.7605        79.4748         
0.157042        1.61156         0.959187        2.4359          0.0407915       
-0.0153024      -2.33924        0.181699        -120.492        34.6803         
1195.13         217.937         396.258         -82.6085        77.0379         
227.644         -0.000461709    0.021436        0.122918        43584.7         
9.87706         5399.34         1.40763e+06     25775.7         0.4             
18              82              57              -2.11689        -2.11689        
1.18239         0               0               1.18239         0               
0               0.25369         0.25369         2.44026         0.0269007       
0.142096        79.4834         -82.7593        0.000140006     0.000153004     
3.58341e-05     -4.98337        0.971549        -9.69036        0               
0               0               0               0.194056        1               
0.788113        0               -0.15           0.194056        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.175848        -0.00473293     
11              0.682828        28272.3         -82.3682        78.4893         
