1 insat2: 1 missile vs 2 target with 2 passive satellites  ' Missile_c1 ' Mar  5 2016 14:33:23
  0  0 47
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          
0               4.47821         -0.148642       -0.149774       -0.148642       
0.0325833       2.29592         0.0781596       1.00254         -0.00131214     
-0.00259276     -50.0248        7000            12476.3         0               
0               0               0               0               0               
0               0               
27              -0.728281       -0.0258304      -9.80048        14140.2         
0.794609        14.765          35.4001         8728.48         242.379         
89.9911         -11.9104        6.9335          5877.19         1271.52         
0.0367256       237.161         50.0227         5               135.455         
253.82          9.47133         90              0               1.00354         
0               4.39338         -0.151136       -0.152281       -0.151136       
0.0324156       2.26377         0.076679        1.00232         -0.00133493     
-0.00263767     -50.0227        7000            12240.1         0               
0               0               0               0               0               
0               0               
28              -0.740096       -0.0262779      -9.79717        14375.5         
0.79824         14.7676         35.4001         8678.46         243.656         
89.9951         -11.8453        6.96212         6115            1321.54         
0.020524        238.467         50.0151         5               135.454         
251.487         9.38639         90              0               1.00328         
0               4.30709         -0.153819       -0.155096       -0.153819       
0.0321924       2.23251         0.0751728       1.00155         -0.00135926     
-0.00268332     -50.0151        7000            12002.6         0               
0               0               0               0               0               
0               0               
29              -0.751792       -0.0267595      -9.78886        14611           
0.801794        14.7702         35.4001         8628.45         244.911         
89.9989         -11.7825        6.97462         6354.11         1371.55         
0.00451815      239.751         50.01           5               135.453         
249.161         9.29915         90              0               1.0025          
0               4.22156         -0.156779       -0.158153       -0.156779       
0.0320321       2.20211         0.0736801       1.00103         -0.00138498     
-0.00273246     -50.01          7000            11763.8         0               
0               0               0               0               0               
0               0               
30              -0.764174       -0.0272701      -9.78306        14846.8         
0.805271        14.7729         35.4001         8578.44         246.144         
90.0027         -11.7222        6.97123         6594.5          1421.56         
-0.0112501      241.01          50.0083         5               135.452         
246.842         9.2097          90              0               1.00198         
0               4.14046         -0.159866       -0.161262       -0.159866       
0.031923        2.17252         0.0722647       1.00086         -0.00141148     
-0.00278455     -50.0083        7000            11523.7         0               
0               0               0               0               0               
0               0               
31              -0.777274       -0.027795       -9.78052        15082.8         
0.808669        14.7755         35.4001         8528.43         247.354         
90.0063         -11.6637        6.95221         6836.13         1471.57         
-0.0267513      242.246         50.0066         5               135.451         
244.53          9.11871         90              0               1.00179         
0               4.06381         -0.162984       -0.164399       -0.162984       
0.0318057       2.14374         0.0709269       1.00067         -0.00143865     
-0.00283811     -50.0066        7000            11282.4         0               
0               0               0               0               0               
0               0               
32              -0.790699       -0.028332       -9.77786        15318.8         
0.811987        14.7782         35.4001         8478.42         248.541         
90.0099         -11.6064        6.91782         7078.98         1521.58         
-0.0419656      243.459         50.0031         5               135.45          
242.226         9.02656         90              0               1.00159         
0               3.98974         -0.166181       -0.16765        -0.166181       
0.0316658       2.11573         0.0696342       1.00032         -0.00146681     
-0.0028929      -50.0031        7000            11039.9         0               
0               0               0               0               0               
0               0               
33              -0.804278       -0.0288884      -9.77359        15554.8         
0.815227        14.7809         35.4001         8428.42         249.705         
90.0133         -11.5505        6.86838         7323.04         1571.58         
-0.0568693      244.648         49.999          5               135.449         
239.931         8.9334          90              0               1.00122         
0               3.91751         -0.169523       -0.171062       -0.169523       
0.0315258       2.08848         0.0683735       0.999901        -0.00149611     
-0.00294966     -49.999         7000            10796.2         0               
0               0               0               0               0               
0               0               
34              -0.818107       -0.0294681      -9.76883        15790.8         
0.818388        14.7836         35.4001         8378.43         250.846         
90.0166         -11.4965        6.8042          7568.27         1621.57         
-0.0714324      245.813         49.9955         5               135.448         
237.644         8.83953         90              0               1.0008          
0               3.8476          -0.173012       -0.174611       -0.173012       
